S.No.,State Code,State Name          (In English),District Code,District Name         (In English),Block Code,Block Version,Block Name                    (In English)
"1","35",ANDAMAN AND NICOBAR ISLANDS,"603",NICOBARS,"6498","5",CAMPBELL BAY
"2","35",ANDAMAN AND NICOBAR ISLANDS,"603",NICOBARS,"6499","1",CAR NICOBAR
"3","35",ANDAMAN AND NICOBAR ISLANDS,"603",NICOBARS,"6500","1",NANCOWRIE
"4","35",ANDAMAN AND NICOBAR ISLANDS,"632",NORTH AND MIDDLE ANDAMAN,"6492","1",DIGLIPUR
"5","35",ANDAMAN AND NICOBAR ISLANDS,"632",NORTH AND MIDDLE ANDAMAN,"6495","1",MAYABUNDER
"6","35",ANDAMAN AND NICOBAR ISLANDS,"632",NORTH AND MIDDLE ANDAMAN,"6497","1",RANGAT
"7","35",ANDAMAN AND NICOBAR ISLANDS,"602",SOUTH ANDAMANS,"6493","1",FERRARGUNJ
"8","35",ANDAMAN AND NICOBAR ISLANDS,"602",SOUTH ANDAMANS,"6494","1",LITTLE ANDAMAN
"9","35",ANDAMAN AND NICOBAR ISLANDS,"602",SOUTH ANDAMANS,"6496","1",PROTHRAPUR
"10","28",ANDHRA PRADESH,"502",ANANTAPUR,"4686","1",AGALI
"11","28",ANDHRA PRADESH,"502",ANANTAPUR,"4687","1",AMADAGUR
"12","28",ANDHRA PRADESH,"502",ANANTAPUR,"4688","1",AMARAPURAM
"13","28",ANDHRA PRADESH,"502",ANANTAPUR,"4689","1",ANANTAPUR
"14","28",ANDHRA PRADESH,"502",ANANTAPUR,"4690","1",ATMAKUR
"15","28",ANDHRA PRADESH,"502",ANANTAPUR,"4691","1",BATHALAPALLE
"16","28",ANDHRA PRADESH,"502",ANANTAPUR,"4692","1",BELUGUPPA
"17","28",ANDHRA PRADESH,"502",ANANTAPUR,"4693","1",BOMMANAHAL
"18","28",ANDHRA PRADESH,"502",ANANTAPUR,"4694","1",BRAHMASAMUDRAM
"19","28",ANDHRA PRADESH,"502",ANANTAPUR,"4695","1",BUKKAPATNAM
"20","28",ANDHRA PRADESH,"502",ANANTAPUR,"4696","1",BUKKARAYASAMUDRAM
"21","28",ANDHRA PRADESH,"502",ANANTAPUR,"4697","1",CHENNEKOTHAPALLE
"22","28",ANDHRA PRADESH,"502",ANANTAPUR,"4698","1",CHILAMATHUR
"23","28",ANDHRA PRADESH,"502",ANANTAPUR,"4700","1",DHARMAVARAM
"24","28",ANDHRA PRADESH,"502",ANANTAPUR,"4699","1",D.HIREHAL
"25","28",ANDHRA PRADESH,"502",ANANTAPUR,"4701","1",GANDLAPENTA
"26","28",ANDHRA PRADESH,"502",ANANTAPUR,"4702","1",GARLADINNE
"27","28",ANDHRA PRADESH,"502",ANANTAPUR,"4703","1",GOOTY
"28","28",ANDHRA PRADESH,"502",ANANTAPUR,"4704","1",GORANTLA
"29","28",ANDHRA PRADESH,"502",ANANTAPUR,"4705","1",GUDIBANDA
"30","28",ANDHRA PRADESH,"502",ANANTAPUR,"4706","1",GUMMAGATTA
"31","28",ANDHRA PRADESH,"502",ANANTAPUR,"4707","1",GUNTAKAL
"32","28",ANDHRA PRADESH,"502",ANANTAPUR,"4708","1",HINDUPUR
"33","28",ANDHRA PRADESH,"502",ANANTAPUR,"4709","1",KADIRI
"34","28",ANDHRA PRADESH,"502",ANANTAPUR,"4710","1",KALYANDRUG
"35","28",ANDHRA PRADESH,"502",ANANTAPUR,"4711","1",KAMBADUR
"36","28",ANDHRA PRADESH,"502",ANANTAPUR,"4712","1",KANAGANAPALLE
"37","28",ANDHRA PRADESH,"502",ANANTAPUR,"4713","1",KANEKAL
"38","28",ANDHRA PRADESH,"502",ANANTAPUR,"4714","1",KOTHACHERUVU
"39","28",ANDHRA PRADESH,"502",ANANTAPUR,"4715","1",KUDAIR
"40","28",ANDHRA PRADESH,"502",ANANTAPUR,"4716","1",KUNDURPI
"41","28",ANDHRA PRADESH,"502",ANANTAPUR,"4717","1",LEPAKSHI
"42","28",ANDHRA PRADESH,"502",ANANTAPUR,"4718","1",MADAKASIRA
"43","28",ANDHRA PRADESH,"502",ANANTAPUR,"4719","1",MUDIGUBBA
"44","28",ANDHRA PRADESH,"502",ANANTAPUR,"4720","1",NALLACHERUVU
"45","28",ANDHRA PRADESH,"502",ANANTAPUR,"4721","1",NALLAMADA
"46","28",ANDHRA PRADESH,"502",ANANTAPUR,"4722","1",NAMBULAPULIKUNTA
"47","28",ANDHRA PRADESH,"502",ANANTAPUR,"4723","1",NARPALA
"48","28",ANDHRA PRADESH,"502",ANANTAPUR,"4724","1",OBULADEVARECHERUVU
"49","28",ANDHRA PRADESH,"502",ANANTAPUR,"4725","1",PAMIDI
"50","28",ANDHRA PRADESH,"502",ANANTAPUR,"4726","1",PARIGI
"51","28",ANDHRA PRADESH,"502",ANANTAPUR,"4727","1",PEDDAPAPPUR
"52","28",ANDHRA PRADESH,"502",ANANTAPUR,"4728","1",PEDDAVADUGUR
"53","28",ANDHRA PRADESH,"502",ANANTAPUR,"4729","1",PENUKONDA
"54","28",ANDHRA PRADESH,"502",ANANTAPUR,"4730","1",PUTLUR
"55","28",ANDHRA PRADESH,"502",ANANTAPUR,"4731","1",PUTTAPARTHI
"56","28",ANDHRA PRADESH,"502",ANANTAPUR,"4732","1",RAMAGIRI
"57","28",ANDHRA PRADESH,"502",ANANTAPUR,"4733","1",RAPTADU
"58","28",ANDHRA PRADESH,"502",ANANTAPUR,"4734","1",RAYADURG
"59","28",ANDHRA PRADESH,"502",ANANTAPUR,"4735","1",RODDAM
"60","28",ANDHRA PRADESH,"502",ANANTAPUR,"4736","1",ROLLA
"61","28",ANDHRA PRADESH,"502",ANANTAPUR,"4737","1",SETTUR
"62","28",ANDHRA PRADESH,"502",ANANTAPUR,"4738","1",SINGANAMALA
"63","28",ANDHRA PRADESH,"502",ANANTAPUR,"4739","1",SOMANDEPALLE
"64","28",ANDHRA PRADESH,"502",ANANTAPUR,"4740","1",TADIMARRI
"65","28",ANDHRA PRADESH,"502",ANANTAPUR,"4741","1",TADIPATRI
"66","28",ANDHRA PRADESH,"502",ANANTAPUR,"4742","1",TALUPULA
"67","28",ANDHRA PRADESH,"502",ANANTAPUR,"4743","1",TANAKAL
"68","28",ANDHRA PRADESH,"502",ANANTAPUR,"4744","1",URAVAKONDA
"69","28",ANDHRA PRADESH,"502",ANANTAPUR,"4745","1",VAJRAKARUR
"70","28",ANDHRA PRADESH,"502",ANANTAPUR,"4746","1",VIDAPANAKAL
"71","28",ANDHRA PRADESH,"502",ANANTAPUR,"4747","1",YADIKI
"72","28",ANDHRA PRADESH,"502",ANANTAPUR,"4748","1",YELLANUR
"73","28",ANDHRA PRADESH,"503",CHITTOOR,"4750","1",BAIREDDIPALLE
"74","28",ANDHRA PRADESH,"503",CHITTOOR,"4751","1",BANGARUPALEM
"75","28",ANDHRA PRADESH,"503",CHITTOOR,"4749","1",B.KOTHAKOTA
"76","28",ANDHRA PRADESH,"503",CHITTOOR,"4752","1",BUCHINADIDU KHANDRIGA
"77","28",ANDHRA PRADESH,"503",CHITTOOR,"4753","1",CHANDRAGIRI
"78","28",ANDHRA PRADESH,"503",CHITTOOR,"4754","1",CHINNAGOTTIGALLU
"79","28",ANDHRA PRADESH,"503",CHITTOOR,"4755","1",CHITTOOR
"80","28",ANDHRA PRADESH,"503",CHITTOOR,"4756","1",CHOWDEPALLE
"81","28",ANDHRA PRADESH,"503",CHITTOOR,"4757","1",GANGADHARA NELLORE
"82","28",ANDHRA PRADESH,"503",CHITTOOR,"4758","1",GANGAVARAM
"83","28",ANDHRA PRADESH,"503",CHITTOOR,"4759","1",GUDIPALA
"84","28",ANDHRA PRADESH,"503",CHITTOOR,"4760","1",GUDUPALLE
"85","28",ANDHRA PRADESH,"503",CHITTOOR,"4761","1",GURRAMKONDA
"86","28",ANDHRA PRADESH,"503",CHITTOOR,"4762","1",IRALA
"87","28",ANDHRA PRADESH,"503",CHITTOOR,"4764","1",KALAKADA
"88","28",ANDHRA PRADESH,"503",CHITTOOR,"4765","1",KALIKIRI
"89","28",ANDHRA PRADESH,"503",CHITTOOR,"4766","1",KAMBHAMVARIPALLE
"90","28",ANDHRA PRADESH,"503",CHITTOOR,"4767","1",KARVETINAGAR
"91","28",ANDHRA PRADESH,"503",CHITTOOR,"4768","1",KUPPAM
"92","28",ANDHRA PRADESH,"503",CHITTOOR,"4769","1",KURABALAKOTA
"93","28",ANDHRA PRADESH,"503",CHITTOOR,"4763","1",K.V.B.PURAM
"94","28",ANDHRA PRADESH,"503",CHITTOOR,"4770","1",MADANAPALLE
"95","28",ANDHRA PRADESH,"503",CHITTOOR,"4771","1",MULAKALACHERUVU
"96","28",ANDHRA PRADESH,"503",CHITTOOR,"4772","1",NAGALAPURAM
"97","28",ANDHRA PRADESH,"503",CHITTOOR,"4773","1",NAGARI
"98","28",ANDHRA PRADESH,"503",CHITTOOR,"4774","1",NARAYANAVANAM
"99","28",ANDHRA PRADESH,"503",CHITTOOR,"4775","1",NIMMANAPALLE
"100","28",ANDHRA PRADESH,"503",CHITTOOR,"4776","1",NINDRA
"101","28",ANDHRA PRADESH,"503",CHITTOOR,"4777","1",PAKALA
"102","28",ANDHRA PRADESH,"503",CHITTOOR,"4778","1",PALAMANER
"103","28",ANDHRA PRADESH,"503",CHITTOOR,"4779","1",PALASAMUDRAM
"104","28",ANDHRA PRADESH,"503",CHITTOOR,"4780","1",PEDDAMANDYAM
"105","28",ANDHRA PRADESH,"503",CHITTOOR,"4781","1",PEDDAPANJANI
"106","28",ANDHRA PRADESH,"503",CHITTOOR,"4782","1",PEDDATHIPPASAMUDRAM
"107","28",ANDHRA PRADESH,"503",CHITTOOR,"4783","1",PENUMURU
"108","28",ANDHRA PRADESH,"503",CHITTOOR,"4784","1",PILER
"109","28",ANDHRA PRADESH,"503",CHITTOOR,"4785","1",PITCHATUR
"110","28",ANDHRA PRADESH,"503",CHITTOOR,"4786","1",PULICHERLA H/O REDDIVARIPALLE
"111","28",ANDHRA PRADESH,"503",CHITTOOR,"4787","1",PUNGANUR
"112","28",ANDHRA PRADESH,"503",CHITTOOR,"4788","1",PUTHALAPATTU
"113","28",ANDHRA PRADESH,"503",CHITTOOR,"4789","1",PUTTUR
"114","28",ANDHRA PRADESH,"503",CHITTOOR,"4790","1",RAMACHANDRAPURAM
"115","28",ANDHRA PRADESH,"503",CHITTOOR,"4791","1",RAMAKUPPAM
"116","28",ANDHRA PRADESH,"503",CHITTOOR,"4792","1",RAMASAMUDRAM
"117","28",ANDHRA PRADESH,"503",CHITTOOR,"4793","1",RENIGUNTA
"118","28",ANDHRA PRADESH,"503",CHITTOOR,"4794","1",ROMPICHERLA
"119","28",ANDHRA PRADESH,"503",CHITTOOR,"4795","1",SANTHIPURAM HO ARIMUTHANAPALLE
"120","28",ANDHRA PRADESH,"503",CHITTOOR,"4796","1",SATYAVEDU
"121","28",ANDHRA PRADESH,"503",CHITTOOR,"4797","1",SODAM
"122","28",ANDHRA PRADESH,"503",CHITTOOR,"4798","1",SOMALA
"123","28",ANDHRA PRADESH,"503",CHITTOOR,"4799","1",SRIKALAHASTI
"124","28",ANDHRA PRADESH,"503",CHITTOOR,"4800","1",SRIRANGARAJAPURAM
"125","28",ANDHRA PRADESH,"503",CHITTOOR,"4801","1",THAMBALLAPALLE
"126","28",ANDHRA PRADESH,"503",CHITTOOR,"4802","1",THAVANAMPALLE
"127","28",ANDHRA PRADESH,"503",CHITTOOR,"4803","1",THOTTAMBEDU
"128","28",ANDHRA PRADESH,"503",CHITTOOR,"4804","1",TIRUPATI (RURAL)
"129","28",ANDHRA PRADESH,"503",CHITTOOR,"4806","1",VADAMALAPETA
"130","28",ANDHRA PRADESH,"503",CHITTOOR,"4807","1",VALMIKIPURAM
"131","28",ANDHRA PRADESH,"503",CHITTOOR,"4808","1",VARADAIAHPALEM
"132","28",ANDHRA PRADESH,"503",CHITTOOR,"4809","1",VEDURUKUPPAM
"133","28",ANDHRA PRADESH,"503",CHITTOOR,"4810","1",VENKATAGIRIKOTA
"134","28",ANDHRA PRADESH,"503",CHITTOOR,"4811","1",VIJAYAPURAM
"135","28",ANDHRA PRADESH,"503",CHITTOOR,"4812","1",YADAMARI
